"Inequality-adjusted education index"
"Dimension: Inequality"
"Definition: HDI education index value adjusted for inequality in distribution of years of schooling based on data from household surveys listed in Main data sources."
"Source: Calculated based on inequality in education and the HDI education index."
""
"HDI Rank","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2019",""
"140"," Vanuatu","..","","..","","..","","..","","0.436","","0.448","","0.445","","0.448","","..","","..",""
"113"," Venezuela (Bolivarian Republic of)","0.559","","0.577","","0.580","","0.596","","0.597","","0.597","","0.617","","0.610","","0.638","","0.638",""
"117"," Viet Nam","0.483","","0.499","","0.504","","0.503","","0.503","","0.510","","0.512","","0.516","","0.516","","0.519",""
"179"," Yemen","0.163","","0.172","","0.168","","0.182","","0.178","","0.177","","0.184","","0.184","","0.187","","0.189",""
"146"," Zambia","0.399","","0.401","","0.403","","0.405","","0.417","","0.421","","0.426","","0.430","","0.433","","0.443",""
"150"," Zimbabwe","0.418","","0.420","","0.451","","0.452","","0.460","","0.463","","0.470","","0.473","","0.474","","0.501",""
"78"," Antigua and Barbuda","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"47"," Brunei Darussalam","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"94"," Dominica","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"180"," Eritrea","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Grenada","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"74"," Saint Kitts and Nevis","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"105"," Libya","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"19"," Liechtenstein","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"97"," Saint Vincent and the Grenadines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
"","Human Development","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Very high human development","0.755","","0.761","","0.764","","0.771","","0.781","","0.786","","0.782","","0.795","","0.795","","0.803",""
" ","High human development","0.478","","0.485","","0.492","","0.501","","0.512","","0.524","","0.536","","0.566","","0.563","","0.572",""
" ","Medium human development","0.286","","0.292","","0.295","","0.304","","0.313","","0.328","","0.336","","0.341","","0.431","","0.334",""
" ","Low human development","0.235","","0.239","","0.244","","0.248","","0.249","","0.255","","0.256","","0.260","","0.261","","0.263",""
" ","Developing Countries","0.375","","0.381","","0.384","","0.378","","0.385","","0.397","","0.404","","0.436","","0.469","","0.440",""
"","Regions","","","..","","..","","..","","..","","..","","..","","..","","..","","..",""
" ","Arab States","0.309","","0.321","","0.331","","0.341","","0.338","","0.351","","0.379","","0.384","","0.386","","0.391",""
" ","East Asia and the Pacific","0.462","","0.470","","0.476","","0.496","","0.508","","0.514","","0.513","","0.551","","0.550","","0.561",""
" ","Europe and Central Asia","0.607","","0.614","","0.620","","0.663","","0.676","","0.680","","0.685","","0.689","","0.682","","0.692",""
" ","Latin America and the Caribbean","0.492","","0.496","","0.500","","0.518","","0.531","","0.544","","0.558","","0.560","","0.552","","0.571",""
" ","South Asia","0.276","","0.285","","0.288","","0.294","","0.302","","0.319","","0.326","","0.338","","0.444","","0.339",""
" ","Sub-Saharan Africa","0.277","","0.277","","0.282","","0.289","","0.293","","0.301","","0.303","","0.308","","0.308","","0.311",""
" ","Least Developed Countries","0.244","","0.251","","0.257","","0.263","","0.261","","0.271","","0.273","","0.274","","0.275","","0.280",""
" ","Small Island Developing States","0.440","","0.432","","0.422","","0.475","","0.485","","0.493","","0.500","","0.505","","0.503","","0.493",""
" ","Organization for Economic Co-operation and Development","0.749","","0.750","","0.749","","0.750","","0.761","","0.766","","0.766","","0.780","","0.782","","0.787",""
" ","World","0.437","","0.443","","0.443","","0.447","","0.453","","0.464","","0.469","","0.492","","0.523","","0.497",""
""
