caseid,market,census,region,qs1,s1t,qs3,q1a,q2a,q3,q3b,q4a,q5a,q6a,weekavg,q6b,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q9a,q9b,q9c,q9d,q9e,q10,q11,q12,q13,q14,q15a,q15b,q15c,q16a,q16b,q16c,q17a,q17b,q18,q19,q20,q21a,slp,q21b,q22a,q22b,q22c,q22d,q22e,q22f,q22g,q23a,q23b,q23c,q23d,q23e,q23f,q24a,q24b,q24c,q24d,q24e,q24f,q24g,q25a,q25b,q25c,q25d,q25e,q26a,q26b,q26c,q27,q28,q2901,q2902,q2903,q2904,q2905,q2906,q30a,q30b,q31a,q31b,q32,q33a,q33b,q33c,q34,q35a,q35b,q35c,q35d,q35e,q35f,q3601,q3602,q3603,q3604,q3605,q3606,q3607,q3608,q3609,q3610,q37,d1,d2a,d2b,d2c,d2d,ttlkid,d3,d4,d501,d502,d503,d504,d6,d7,q38,q39a,q39b,q39c,q39d,q40a,q40b,q40c,q40d
166,South2,3,3,1,,1,5,14,6.00,00,7,1,5.00,5.71,00,4,5,4,4,5,1,1,3,3,3,3,2,3,4,3,4,4,2,2,2,,,,2,2,2,,3,6.00,2.00,00,1,2,2,2,2,2,2,3,4,4,2,4,4,4,3,4,3,4,4,4,3,2,2,2,2,1,1,2,002,3,3,,,,,,2,4,2,2,3,2,3,3,3,10,10,10,10,09,08,2,,,,,,,,,,1,1,96, , , ,,4,5,1,,,,066,6,3,3,3,3,3,2,1,2,2
784,South4,3,3,1,,1,5,14,6.00,00,6,99,5.00,5.71,00,3,4,4,2,2,1,1,4,3,4,4,2,2,3,2,3,3,2,2,2,,,,2,1,2,,2,6.00,2.00,00,2,3,1,1,2,3,3,1,3,3,3,3,1,3,5,4,3,4,4,3,2,2,2,2,2,1,1,2,00,2,5,,,,,,3,4,2,2,5,4,1,4,2,08,06,08,08,06,09,2,,,,,,,,,,1,2,96, , , ,,4,3,2,,,,031,5,2,2,1,2,2,,,,
556,South4,3,3,1,,1,9,12,2.00,00,13,4,9.00,4.00,00,1,1,3,1,1,3,1,1,3,4,4,2,3,4,4,3,2,1,2,1,2,,2,5,1,2,,4,7.00,1.00,00,3,5,3,3,2,3,1,5,5,2,1,1,4,3,3,3,4,5,2,4,2,4,3,4,1,1,1,2,000,1,,,,,,,3,4,3,3,3,4,4,4,3,08,12,12,12,08,10,3,,,,,,,,,,3,2,96, , , ,,4,3,3,,,,018,3,3,3,2,1,1,,,,
209,South2,3,3,1,,2,6,15,5.00,00,10,1,6.00,5.29,00,5,5,4,5,2,99,3,4,4,3,4,4,1,4,4,1,3,2,2,2,,,,3,3,2,,4,8.00,1.00,00,1,1,3,2,2,1,2,3,5,4,5,3,5,2,3,3,5,1,3,4,2,4,2,5,2,2,2,2, ,,,,,,,,4,4,3,4,3,4,2,3,3,09,08,08,08,08,08,2,,,,,,,,,,1,2,96, , , ,,2,6,1,,,,027,4,1,4,4,3,4,99,1,2,2
818,West5,4,4,1,,2,3,12,5.00,00,5,14,6.00,5.29,00,1,4,4,1,5,99,1,4,4,3,4,1,2,3,3,4,3,2,2,1,,,1,4,2,1,2,3,8.00,1.00,00,1,2,2,1,2,1,2,5,4,3,5,4,5,2,4,4,3,2,4,3,2,2,2,2,1,2,2,2, ,,,,,,,,3,4,4,3,4,4,1,4,3,08,06,08,08,08,08,3,,,,,,,,,,4,1,02,01,96,01,2,3,6,1,,,,050,98,1,1,4,3,3,2,1,2,1
620,South1,3,3,1,,2,13,10,5.50,30,13,10,5.50,5.50,30,5,5,5,5,1,1,1,4,4,4,3,4,1,4,4,3,3,2,2,1,,,1,1,4,2,,4,8.00,1.00,00,1,1,3,1,2,2,4,1,5,5,4,4,4,3,3,3,1,2,3,3,4,4,5,1,5,1,2,2,001,1,,,,,,,1,4,4,2,3,4,1,4,4,09,08,10,10,10,08,5,,,,,,,,,,,2,96, , , ,,3,2,1,,,,039,1,1,4,4,4,4,2,2,2,2
404,West2,4,4,1,,2,3,15,6.00,00,9,4,5.00,5.71,00,4,3,3,4,1,1,1,4,3,3,4,4,3,4,4,4,4,2,2,2,,,,2,1,1,2,4,8.00,1.00,00,3,2,2,2,2,2,2,5,5,4,5,4,4,2,3,3,4,1,4,2,3,1,2,2,5,1,2,2,000,4,1,,,,,,3,4,4,3,5,4,2,4,4,12,10,12,10,10,08,2,,,,,,,,,,1,2,96, , , ,,4,5,3,,,,023,3,2,3,3,2,3,1,1,1,1
590,South5,3,3,1,,1,5,7,6.00,00,7,4,5.00,5.71,00,5,4,5,5,99,2,4,4,4,4,4,1,2,1,2,3,3,2,2,1,,,1,1,1,2,,4,8.00,1.00,00,2,2,1,3,3,2,2,1,5,1,5,5,5,1,1,1,1,1,1,1,3,3,3,3,5,2,2,2, ,,,,,,,,4,4,4,4,5,4,1,4,4,08,12,12,12,10,08,8,,,,,,,,,,,1,03,96,03,96,3,4,3,2,,,,030,2,2,3,3,3,4,1,1,1,2
867,NE3,1,1,1,,1,2,1,4.00,00,14,11,7.33,4.95,20,1,1,3,3,5,5,1,1,2,4,4,2,3,4,4,4,4,2,2,2,,,,3,1,1,2,4,9.66,1.00,40,3,3,4,3,3,3,4,4,5,2,4,4,2,5,3,5,5,5,3,5,4,5,3,5,3,1,1,2,00,3,1,,,,,,4,4,4,4,5,1,1,4,4,7,6,9,9,8,8,1,,,,,,,,,,4,4,96, , , ,,5,3,2,,,,032,1,3,3,3,3,3,2,1,2,1
604,South4,3,3,1,,1,2,11,4.00,00,5,12,7.50,5.00,30,1,1,2,4,4,1,1,4,3,3,3,2,4,99,1,4,4,2,2,2,,,,1,1,2,,1,4.00,2.00,00,3,3,3,3,3,3,3,3,3,3,2,4,3,3,4,4,4,4,4,4,1,3,1,2,2,2,2,2, ,,,,,,,,4,4,4,3,3,1,2,4,4,05,08,04,12,12,08,2,,,,,,,,,,4,1,02,96,96,02,2,5,3,1,,,,028,2,98,98,98,98,98,,,,
